timestamp,open,high,low,close,volume,source,product_id,granularity
2020-01-01T00:00:00Z,128.54,132.68,128.12,130.19,57512.49500629,coinbase,ETH-USD,1d
2020-01-02T00:00:00Z,130.14,130.18,125.83,126.81,49211.56901537,coinbase,ETH-USD,1d
2020-01-03T00:00:00Z,126.81,134.93,125.52,134.17,88651.89284841,coinbase,ETH-USD,1d
2020-01-04T00:00:00Z,134.17,135.75,132.5,134.14,31254.84712421,coinbase,ETH-USD,1d
2020-01-05T00:00:00Z,134.14,138.97,134.14,135.31,45353.69311227,coinbase,ETH-USD,1d
2020-01-06T00:00:00Z,135.31,144.51,134.78,144.19,91523.60992709,coinbase,ETH-USD,1d
2020-01-07T00:00:00Z,144.2,145.25,138.79,143.08,96525.42253821,coinbase,ETH-USD,1d
2020-01-08T00:00:00Z,143.08,148,137.03,140.6,101682.09291578,coinbase,ETH-USD,1d
2020-01-09T00:00:00Z,140.64,141.38,135.12,137.71,61184.99933797,coinbase,ETH-USD,1d
2020-01-10T00:00:00Z,137.72,145.81,135.26,144.72,137620.99823131,coinbase,ETH-USD,1d
2020-01-11T00:00:00Z,144.89,148,142,142.63,52850.50876755,coinbase,ETH-USD,1d
2020-01-12T00:00:00Z,142.51,146.6,141.83,146.6,35450.66532334,coinbase,ETH-USD,1d
2020-01-13T00:00:00Z,146.55,147,142.1,143.51,44072.65864059,coinbase,ETH-USD,1d
2020-01-14T00:00:00Z,143.5,170.83,143.45,165.76,258408.61594025,coinbase,ETH-USD,1d
2020-01-15T00:00:00Z,165.74,172.18,159.13,166.29,165292.68609565,coinbase,ETH-USD,1d
2020-01-16T00:00:00Z,166.27,167.28,158.17,163.93,88188.75031049,coinbase,ETH-USD,1d
2020-01-17T00:00:00Z,164,174.52,162.01,169.59,134919.66648757,coinbase,ETH-USD,1d
2020-01-18T00:00:00Z,169.54,179.32,164.92,174.06,113052.32285408,coinbase,ETH-USD,1d
2020-01-19T00:00:00Z,174.05,178,161.7,166.75,113433.68959115,coinbase,ETH-USD,1d
2020-01-20T00:00:00Z,166.67,169.3,161.1,166.68,66340.77435099,coinbase,ETH-USD,1d
2020-01-21T00:00:00Z,166.66,170,164.28,169.19,61518.4955582,coinbase,ETH-USD,1d
2020-01-22T00:00:00Z,169.29,171.05,165.65,167.68,49452.51856158,coinbase,ETH-USD,1d
2020-01-23T00:00:00Z,167.73,167.79,158.44,162.4,69309.04423236,coinbase,ETH-USD,1d
2020-01-24T00:00:00Z,162.49,164.21,154.48,162.3,88510.10066684,coinbase,ETH-USD,1d
2020-01-25T00:00:00Z,162.31,162.41,157.4,160.12,36677.5237579,coinbase,ETH-USD,1d
2020-01-26T00:00:00Z,160,167.59,159.09,167.35,44653.7353865,coinbase,ETH-USD,1d
2020-01-27T00:00:00Z,167.58,171.7,164.89,169.77,84463.87778454,coinbase,ETH-USD,1d
2020-01-28T00:00:00Z,169.78,176.5,169.78,175.99,102264.17475594,coinbase,ETH-USD,1d
2020-01-29T00:00:00Z,175.91,178.31,173.13,173.45,85409.92407361,coinbase,ETH-USD,1d
2020-01-30T00:00:00Z,173.41,186.89,170,184.55,104426.47390742,coinbase,ETH-USD,1d
2020-01-31T00:00:00Z,184.52,185.68,175,179.74,108639.77662455,coinbase,ETH-USD,1d
2020-02-01T00:00:00Z,179.72,184.2,179,183.5,65650.16851655,coinbase,ETH-USD,1d
2020-02-02T00:00:00Z,183.49,193.52,178.98,188.29,96138.84421015,coinbase,ETH-USD,1d
2020-02-03T00:00:00Z,188.22,195.21,186.25,189.42,89093.19595622,coinbase,ETH-USD,1d
2020-02-04T00:00:00Z,189.41,191.37,184.29,188.24,89059.71463466,coinbase,ETH-USD,1d
2020-02-05T00:00:00Z,188.25,207.93,186.89,204,143938.17466042,coinbase,ETH-USD,1d
2020-02-06T00:00:00Z,204.01,216.49,200.54,212.95,162316.43667648,coinbase,ETH-USD,1d
2020-02-07T00:00:00Z,212.94,224.78,212.94,223.22,161651.51487279,coinbase,ETH-USD,1d
2020-02-08T00:00:00Z,223.22,228.4,213.24,223.37,137475.60159995,coinbase,ETH-USD,1d
2020-02-09T00:00:00Z,223.36,230.9,223.16,228.8,111211.55092349,coinbase,ETH-USD,1d
2020-02-10T00:00:00Z,228.8,229.6,216.31,222.85,106485.3898759,coinbase,ETH-USD,1d
2020-02-11T00:00:00Z,222.86,239.92,217.83,237.98,174444.85728588,coinbase,ETH-USD,1d
2020-02-12T00:00:00Z,237.99,276.15,237.95,266.49,293996.34960631,coinbase,ETH-USD,1d
2020-02-13T00:00:00Z,266.63,278.01,253.75,268.42,264197.24736242,coinbase,ETH-USD,1d
2020-02-14T00:00:00Z,268.37,287.98,260.13,286.27,191566.74315799,coinbase,ETH-USD,1d
2020-02-15T00:00:00Z,285.95,290,261.35,264.92,251243.79219334,coinbase,ETH-USD,1d
2020-02-16T00:00:00Z,264.83,274,236.37,258.5,248679.14437688,coinbase,ETH-USD,1d
2020-02-17T00:00:00Z,258.58,269,242.36,268.03,204959.48476961,coinbase,ETH-USD,1d
2020-02-18T00:00:00Z,268.2,286.87,259.24,283.31,211662.70708459,coinbase,ETH-USD,1d
2020-02-19T00:00:00Z,283.34,287.13,250,258.66,239803.85463207,coinbase,ETH-USD,1d
2020-02-20T00:00:00Z,258.51,264.26,245.25,257.4,203271.5155604,coinbase,ETH-USD,1d
2020-02-21T00:00:00Z,257.2,268.71,254.1,265.8,136892.24699258,coinbase,ETH-USD,1d
2020-02-22T00:00:00Z,265.79,267.04,256.3,262.08,63814.59112412,coinbase,ETH-USD,1d
2020-02-23T00:00:00Z,261.94,276.62,261.53,275.48,104405.13989679,coinbase,ETH-USD,1d
2020-02-24T00:00:00Z,275.48,278.13,256.06,265.31,197775.66826806,coinbase,ETH-USD,1d
