strategy,strategy_label,symbol,contribution_interval,start,end,initial_value_usd,gross_buys_usd,gross_sells_usd,net_buys_usd,withdrawn_dai_usd,ending_dai_usd,ending_btc_units,ending_eth_units,ending_value_usd,realized_value_usd,return_pct,turnover_pct,max_drawdown_pct,trade_count
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,49159.80,65296.93,-16137.13,0.00,26137.13,0.41422486,12.38887744,85413.75,85413.75,754.14,1144.57,60.54,662
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,48767.17,66662.20,-17895.03,0.00,27895.03,0.12866021,3.61803233,45788.68,45788.68,357.89,1154.29,43.01,662
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,49406.60,69671.93,-20265.33,0.00,30265.33,0.27808814,8.10937908,69592.41,69592.41,595.92,1190.79,56.25,662
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,51433.62,71865.22,-20431.60,0.00,30431.60,0.22355491,6.69847420,62450.49,62450.49,524.50,1232.99,53.63,662
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,10000.00,53674.20,74016.98,-20342.79,0.00,30342.79,0.41940476,10.09393410,84843.93,84843.93,748.44,1276.91,57.19,662
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,45949.04,56135.29,-10186.26,0.00,20186.26,0.34498559,10.34271551,69610.15,69610.15,596.10,1020.84,62.36,636
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,46229.82,61167.89,-14938.08,0.00,24938.08,0.12048415,3.39983960,41721.03,41721.03,317.21,1073.98,44.32,636
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,47098.31,61821.55,-14723.23,0.00,24723.23,0.24290010,7.06774529,59039.12,59039.12,490.39,1089.20,57.77,636
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,49189.15,64935.36,-15746.21,0.00,25746.21,0.20107690,6.01213083,54516.78,54516.78,445.17,1141.25,54.96,636
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,10000.00,50194.06,63993.46,-13799.40,0.00,23799.40,0.35050984,8.38947599,69243.37,69243.37,592.43,1141.88,57.93,636
