strategy,strategy_label,symbol,contribution_interval,start,end,contributed_usd,invested_usd,ending_cash_usd,ending_value_usd,return_pct,deployment_pct,max_drawdown_pct,trade_count
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=50)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,24900.00,35900.00,72428.04,19.13,40.95,21.91,249
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=50,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,60150.00,650.00,89592.82,47.36,98.93,44.03,608
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,38600.00,22200.00,83256.70,36.94,63.49,36.32,386
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=100)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,22200.00,38600.00,69385.00,14.12,36.51,16.47,222
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=100,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,60550.00,250.00,87218.81,43.45,99.59,42.95,608
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,43000.00,17800.00,83991.02,38.14,70.72,38.78,430
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=200)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,17800.00,43000.00,68650.69,12.91,29.28,11.19,178
weekly_ma_scaled_dca,"weekly_ma_scaled_dca(weekly_amount_usd=100,window_days=200,below_multiplier=2.0,above_multiplier=0.5)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,56500.00,4300.00,86025.94,41.49,92.93,39.61,608
weekly_drawdown_scaled_dca,"weekly_drawdown_scaled_dca(weekly_amount_usd=100,lookback_days=90,mild_drawdown_pct=0.10,deep_drawdown_pct=0.20)",BTC-USD,2d,2023-01-01,2026-04-29,60800.00,60750.00,50.00,88119.53,44.93,99.92,41.94,608
weekly_fixed_dca,weekly_fixed_dca(weekly_amount_usd=100),BTC-USD,3d,2023-01-01,2026-04-30,40600.00,40600.00,0.00,61725.89,52.03,100.00,46.10,406
weekly_ma_trend_dca,"weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,22700.00,17900.00,53081.26,30.74,55.91,33.66,227
weekly_dip_dca,"weekly_dip_dca(weekly_amount_usd=100,window_days=20)",BTC-USD,3d,2023-01-01,2026-04-30,40600.00,17900.00,22700.00,49244.63,21.29,44.09,26.15,179
