strategy,strategy_label,symbol,contribution_interval,start,end,initial_value_usd,gross_buys_usd,gross_sells_usd,net_buys_usd,withdrawn_dai_usd,ending_dai_usd,ending_btc_units,ending_eth_units,ending_value_usd,realized_value_usd,return_pct,turnover_pct,max_drawdown_pct,trade_count
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,52121.45,83854.49,-31733.03,0.00,41733.03,0.59711262,17.74769735,126931.19,126931.19,791.49,955.01,57.68,662
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,49034.62,80756.44,-31721.81,0.00,41721.81,0.16688224,4.63745047,64806.47,64806.47,355.16,911.57,39.21,662
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,49662.44,87269.67,-37607.22,0.00,47607.22,0.38940176,11.38260247,102737.44,102737.44,621.57,961.73,53.09,662
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,51884.14,89359.07,-37474.93,0.00,47474.93,0.30563052,9.19548171,91334.17,91334.17,541.48,992.01,50.51,662
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,55484.04,92771.01,-37286.97,0.00,47286.97,0.59779506,14.50643725,125237.99,125237.99,779.60,1041.25,55.21,662
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,14013.76,49670.07,75922.77,-26252.70,0.00,36252.70,0.53292068,15.86589398,112350.59,112350.59,701.72,896.21,58.45,636
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,14013.76,46712.57,75894.37,-29181.81,0.00,39181.81,0.15986099,4.45018495,61312.89,61312.89,337.52,874.90,39.72,636
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,14013.76,48188.10,81058.10,-32870.00,0.00,42870.00,0.35876142,10.48579449,93659.64,93659.64,568.34,922.28,53.79,636
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,14013.76,50161.40,83381.11,-33219.71,0.00,43219.71,0.28506375,8.57217033,84117.36,84117.36,500.25,952.94,51.10,636
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-04-01,2026-04-29,14013.76,53429.91,86086.50,-32656.59,0.00,42656.59,0.54905858,13.30159700,114202.56,114202.56,714.93,995.57,55.63,636
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-07-01,2026-04-29,15775.14,46102.12,64964.57,-18862.45,0.00,28862.45,0.44630098,13.32728971,92682.09,92682.09,487.52,704.06,59.88,610
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-07-01,2026-04-29,15775.14,44993.88,71202.95,-26209.06,0.00,36209.06,0.15164351,4.23101474,57224.10,57224.10,262.75,736.58,40.40,610
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-07-01,2026-04-29,15775.14,45738.12,72034.76,-26296.64,0.00,36296.64,0.31651716,9.24450687,81090.97,81090.97,414.04,746.57,54.94,610
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-07-01,2026-04-29,15775.14,48260.39,76051.10,-27790.71,0.00,37790.71,0.25889187,7.77645648,74913.93,74913.93,374.89,788.02,52.00,610
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-07-01,2026-04-29,15775.14,50794.23,76172.38,-25378.15,0.00,35378.15,0.47242273,11.40560827,96849.25,96849.25,513.94,804.85,56.52,610
