strategy                   strategy_label                                             symbol          contribution_interval start      end        contributed_usd invested_usd ending_cash_usd ending_value_usd return_pct deployment_pct max_drawdown_pct trade_count
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=100)      ETH-USD         3d                    2023-01-01 2026-04-30 40600.00        17800.00     22800.00        40679.56         0.20       43.84          26.89            178        
weekly_ma_trend_dca        weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200) ETH-USD         3d                    2023-01-01 2026-04-30 40600.00        23500.00     17100.00        38102.30         -6.15      57.88          44.28            235        
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=200)      ETH-USD         3d                    2023-01-01 2026-04-30 40600.00        17100.00     23500.00        41123.81         1.29       42.12          25.24            171        
weekly_fixed_dca           weekly_fixed_dca(weekly_amount_usd=100)                    ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        24400.00     0.00            23200.82         -4.91      100.00         56.43            244        
weekly_ma_trend_dca        weekly_ma_trend_dca(weekly_amount_usd=100,window_days=20)  ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        12100.00     12300.00        23589.75         -3.32      49.59          32.46            121        
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=20)       ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        12300.00     12100.00        24011.08         -1.59      50.41          31.50            123        
weekly_ma_trend_dca        weekly_ma_trend_dca(weekly_amount_usd=100,window_days=50)  ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        12700.00     11700.00        23469.56         -3.81      52.05          33.63            127        
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=50)       ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        11700.00     12700.00        24131.26         -1.10      47.95          30.45            117        
weekly_ma_trend_dca        weekly_ma_trend_dca(weekly_amount_usd=100,window_days=100) ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        13700.00     10700.00        23184.54         -4.98      56.15          38.68            137        
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=100)      ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        10700.00     13700.00        24416.28         0.07       43.85          25.54            107        
weekly_ma_trend_dca        weekly_ma_trend_dca(weekly_amount_usd=100,window_days=200) ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        13800.00     10600.00        22910.43         -6.10      56.56          42.50            138        
weekly_dip_dca             weekly_dip_dca(weekly_amount_usd=100,window_days=200)      ETH-USD         5d                    2023-01-01 2026-04-30 24400.00        10600.00     13800.00        24690.39         1.19       43.44          24.76            106        
btc_only_weekly            btc_only_weekly                                            BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            638490.46        176.16     100.00         69.72            2312       
eth_only_weekly            eth_only_weekly                                            BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            528054.73        128.40     100.00         78.32            2312       
equal_split_weekly         equal_split_weekly                                         BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            583272.60        152.28     100.00         75.56            4624       
risk_on_eth_risk_off_btc   risk_on_eth_risk_off_btc(window_days=50)                   BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            590452.48        155.39     100.00         76.40            2361       
buy_stronger_return_weekly buy_stronger_return_weekly(window_days=28)                 BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            584007.75        152.60     100.00         75.91            2340       
buy_weaker_return_weekly   buy_weaker_return_weekly(window_days=28)                   BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            582537.44        151.96     100.00         75.19            2340       
buy_stronger_return_weekly buy_stronger_return_weekly(window_days=84)                 BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            595813.60        157.70     100.00         76.70            2396       
buy_weaker_return_weekly   buy_weaker_return_weekly(window_days=84)                   BTC-USD+ETH-USD 1d                    2020-01-01 2026-04-30 231200.00       231200.00    0.00            570731.60        146.86     100.00         74.08            2396       
btc_only_weekly            btc_only_weekly                                            BTC-USD+ETH-USD 2d                    2020-01-01 2026-04-29 115600.00       115600.00    0.00            316917.99        174.15     100.00         68.43            1156       
eth_only_weekly            eth_only_weekly                                            BTC-USD+ETH-USD 2d                    2020-01-01 2026-04-29 115600.00       115600.00    0.00            263416.29        127.87     100.00         76.37            1156       
