strategy,strategy_label,symbol,contribution_interval,start,end,initial_value_usd,gross_buys_usd,gross_sells_usd,net_buys_usd,withdrawn_dai_usd,ending_dai_usd,ending_btc_units,ending_eth_units,ending_value_usd,realized_value_usd,return_pct,turnover_pct,max_drawdown_pct,trade_count
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,153482.17,173337.80,-19855.63,0.00,29855.63,0.77357106,25.30060001,145429.02,145429.02,921.41,2295.39,65.26,662
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,170543.77,194045.29,-23501.52,0.00,33501.52,0.34943867,10.20292085,82947.96,82947.96,482.58,2560.66,58.48,662
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,178657.21,202358.06,-23700.85,0.00,33700.85,0.64180405,18.36705648,123679.21,123679.21,768.65,2676.02,64.98,662
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,189351.87,214936.31,-25584.45,0.00,35584.45,0.54277153,16.23284188,113254.88,113254.88,695.43,2839.48,64.36,662
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,186392.47,221830.19,-35437.72,0.00,45437.72,0.93839823,21.49588117,164929.59,164929.59,1058.37,2867.11,61.03,662
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,93074.67,98559.78,-5485.11,0.00,15485.11,0.40972000,13.46302615,78400.57,78400.57,176.43,675.69,64.15,556
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,153512.11,169969.09,-16456.99,0.00,26456.99,0.33548042,9.73108284,74979.24,74979.24,164.37,1140.57,57.78,556
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,145318.23,146372.66,-1054.43,0.00,11054.43,0.45610213,13.54670679,77756.52,77756.52,174.16,1028.48,65.80,556
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,155164.29,162347.49,-7183.20,0.00,17183.20,0.41101152,12.87643663,78840.27,78840.27,177.98,1119.52,63.82,556
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,116676.81,125765.19,-9088.38,0.00,19088.38,0.46004608,10.06894657,78042.15,78042.15,175.17,854.83,61.75,556
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2022-01-01,2026-04-25,52695.32,60793.03,63410.26,-2617.24,0.00,12617.24,0.33504789,11.02211485,64204.92,64204.92,21.84,235.70,57.26,452
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2022-01-01,2026-04-25,52695.32,108556.26,114719.87,-6163.61,0.00,16163.61,0.30715548,8.99623605,60885.46,60885.46,15.54,423.71,61.56,452
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2022-01-01,2026-04-25,52695.32,105438.22,102247.83,3190.39,0.00,6809.61,0.37892136,12.19948029,64535.56,64535.56,22.47,394.13,61.49,452
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2022-01-01,2026-04-25,52695.32,110087.73,110779.89,-692.15,0.00,10692.15,0.35338454,11.76267993,65421.78,65421.78,24.15,419.14,59.88,452
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2022-01-01,2026-04-25,52695.32,77712.58,84761.40,-7048.82,0.00,17048.82,0.41247219,9.03401926,70036.23,70036.23,32.91,308.33,53.61,452
