strategy,strategy_label,symbol,contribution_interval,start,end,initial_value_usd,gross_buys_usd,gross_sells_usd,net_buys_usd,withdrawn_dai_usd,ending_dai_usd,ending_btc_units,ending_eth_units,ending_value_usd,realized_value_usd,return_pct,turnover_pct,max_drawdown_pct,trade_count
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,233888.73,256908.94,-23020.22,0.00,33020.22,0.87406835,28.89862736,164308.79,164308.79,1054.01,3447.07,65.46,662
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,428959.19,427772.04,1187.15,0.00,8812.85,0.52483994,17.35235851,87645.90,87645.90,515.57,6017.17,66.41,662
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,406135.32,409667.71,-3532.39,0.00,13532.39,0.81154776,26.73393122,135210.27,135210.27,849.64,5729.71,68.54,662
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,505803.34,502876.37,2926.97,0.00,7073.03,0.77406882,33.27631887,140644.25,140644.25,887.80,7084.36,68.53,662
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2020-01-01,2026-04-29,14238.12,435420.50,468386.60,-32966.10,0.00,42966.10,1.03087842,22.64032056,172040.71,172040.71,1108.31,6347.80,65.41,662
static_50_50_rebalance,"static_50_50_rebalance(cash_weight=0.20,rebalance_fraction=0.50)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,115261.33,122124.57,-6863.23,0.00,16863.23,0.44644032,14.67453780,85428.75,85428.75,201.22,837.00,64.31,556
target_50_50_with_cash_band,"target_50_50_with_cash_band(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.30,bull_cash_weight=0.60)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,341108.36,338444.81,2663.55,0.00,7336.45,0.43692071,14.36140252,74439.39,74439.39,162.47,2396.05,64.50,556
narrow_cash_band_rebalance,"narrow_cash_band_rebalance(ma_window_days=200,drawdown_window_days=365,bear_cash_weight=0.10,neutral_cash_weight=0.20,bull_cash_weight=0.35)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,245657.78,243646.78,2011.00,0.00,7989.00,0.48148892,15.81644144,81913.87,81913.87,188.82,1725.25,66.82,556
drawdown_tilt_rebalance,"drawdown_tilt_rebalance(drawdown_window_days=365,deep_drawdown=0.50,medium_drawdown=0.25,deep_bear_cash_weight=0.05,bull_cash_weight=0.40)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,295377.96,291826.53,3551.43,0.00,6448.57,0.45558177,19.42577575,86725.16,86725.16,205.79,2070.44,66.45,556
btc_defensive_eth_aggressive,"btc_defensive_eth_aggressive(ma_window_days=200,return_window_days=84,weak_cash_weight=0.25,neutral_cash_weight=0.15,strong_cash_weight=0.10)",BTC-USD+ETH-USD+DAI,7d,2021-01-01,2026-04-24,28361.37,216833.27,227892.93,-11059.66,0.00,21059.66,0.50793519,11.12446027,86167.37,86167.37,203.82,1568.07,64.04,556
